"","Total_Time","Participant_ID","Q1","Q1_Time","Q2","Q2_Time","Q3","Q3_Time","Q4","Q4_Time","Q5","Q5_Time","Q6","Q6_Time","Q7","Q7_Time","Q8","Q8_Time","Q9","Q9_Time","Q10","Q10_Time","GCB_1","GCB_2","GCB_3","GCB_4","GCB_5","GCB_6","GCB_7","GCB_8","GCB_9","GCB_10","GCB_11","GCB_12","GCB_13","GCB_14","GCB_15","DQ_Pol.Today","DQ_Pol.Gen"
"39","1002",61382,"1","62,532","-1","34,702","-1","30,374","1","52,948","1","47,575","1","55,138","1","107,532","1","43,672","-1","53,966","-1","44,082","5","4","3","2","2","4","2","3","2","4","5","3","3","4","5","4","4"
"40","469",79281,"1","11,81","-1","15,606","1","16,752","1","30,817","1","17,817","1","19,584","1","10,759","1","27,782","1","74,158","1","10,851","3","2","3","1","1","4","2","2","1","2","4","2","1","1","4","1","4"
"41","444",36214,"1","7,508","1","24,422","1","6,213","-1","51,513","1","4,883","1","7,637","1","6,526","1","33,123","-1","10,189","1","5,876","5","4","5","5","4","5","5","5","3","4","3","3","4","5","5","1","5"
"42","893",31472,"-1","35,437","1","39,405","-1","34,087","1","77,864","1","49,596","1","53,436","1","33,361","-1","24,071","-1","35,276","1","60,268","4","3","1","2","1","1","2","1","1","4","2","2","1","1","5","2","4"
"43","989",66907,"1","76,69","-1","55,047","1","36,627","1","152,227","1","173,408","1","43,825","1","38,788","1","43,747","-1","42,459","1","54,679","1","3","1","1","1","2","1","1","1","2","3","1","1","1","4","2","4"
"44","840",58864,"-1","0,777","1","1,128","-1","56,835","-1","43,827","-1","171,716","-1","25,686","-1","93,488","-1","3,925","-1","92,733","-1","8,414","4","3","3","3","4","4","2","4","4","4","4","2","2","3","3","1","4"
"45","528",97215,"1","27,232","1","29,193","1","38,684","-1","36,5","-1","35,288","1","28,047","-1","36,134","1","24,892","-1","39,367","-1","37,629","2","4","3","5","4","4","4","4","5","5","4","4","4","5","5","2","2"
"46","1648",93848,"1","42,203","1","81,047","-1","68,731","1","92,774","1","75,632","1","114,812","1","76,095","1","96,598","-1","71,544","-1","92,115","2","4","5","3","2","2","4","5","4","4","3","4","4","4","5","3","3"
"47","508",55345,"1","35,301","1","14,501","-1","44,501","1","43,182","-1","45,632","-1","24,475","-1","24,448","1","18,101","1","12,244","1","12,347","3","4","1","2","2","1","2","1","1","3","3","2","1","3","4","1","5"
"48","523",39531,"1","34,533","1","25,025","1","36","-1","33,475","1","30,004","1","27,758","1","37,054","-1","18,938","1","34,948","1","24,456","2","2","1","3","1","1","1","2","1","3","1","1","1","4","4","8","3"
"49","517",96957,"1","14,023","-1","51,791","1","30,482","1","26,051","1","30,636","1","24,533","1","26,986","-1","31,684","1","55,091","-1","31,926","2","4","1","1","2","3","2","2","1","2","1","2","1","1","4","1","5"
