"","Participant_ID","Q1_V1_IH","Q1_Time","Q2_V1_ID","Q2_Time","Q3_V2_IH","Q3_Time","Q4_V2_ID","Q4_Time","Q5_V3_IH","Q5_Time","Q6_V3_ID","Q6_Time","Q7_V4_IH","Q7_Time","Q8_V4_ID","Q8_Time","Q9_V5_IH","Q9_Time","Q10_V5_ID","Q10_Time","Q11_V6_IH","Q11_Time","Q12_V6_ID","Q12_Time","Q13_V7_IH","Q13_Time","Q14_V7_ID","Q14_Time","Q15_V8_IH","Q15_Time","Q16_V8_ID","Q16_Time","Q17_V9_IH","Q17_Time","Q18_V9_ID","Q18_Time","Q19_V10_IH","Q19_Time","Q20_V10_ID","Q20_Time","Total_Time"
"130",51574,"79","53,341","16","71,814","83","77,319","19","43,112","84","37,67","94","64,942","71","39,651","84","10,345","72","80,419","78","36,282","89","54,779","27","53,263","88","53,928","88","33,754","87","79,037","94","11,979","81","50,211","86","9,5","86","12,5","86","14,438","1783"
"131",62634,"93","81,169","92","29,028","86","72,446","73","79,344","79","88,723","94","34,2","87","48,933","87","113,687","70","69,326","91","75,562","94","86,724","61","40,978","73","208,351","90","31,873","78","19,615","83","19,55","69","17,816","81","116,613","92","30,788","81","54,577","1930"
"132",14219,"97","26,609","73","16,342","46","20,637","78","94,618","44","24,138","89","21,962","88","16,134","61","33,89","40","27,077","17","11,636","84","19,422","38","31,155","96","13,148","81","90,5","71","27,55","67","18,935","84","8,924","71","20,893","93","14,047","98","22,428","882"
"133",54739,"90","35,995","91","43,114","89","30,645","99","38,534","65","30,316","90","36,647","90","30,417","50","26,186","50","30,098","39","38,933","55","31,747","55","27,659","85","34,163","85","24,886","71","42,177","85","32,793","75","27,923","90","36,684","65","33,295","82","49,015","1072"
"134",32896,"90","14,81","90","10,046","95","50,027","91","48,747","100","13,03","80","77,99","80","69,706","90","14,035","70","114,28","90","19,246","85","22,734","95","15,307","90","15,983","90","10,387","95","342,639","95","20,62","95","23,975","95","344,994","95","33,714","100","41,753","2183"
"135",51478,"100","42,985","100","153,227","70","45,881","50","113,362","75","65,923","50","101,648","100","80,144","30","201,494","75","37,765","50","128,586","0","51,427","85","67,819","100","24,523","100","49,196","50","99,272","60","69,403","100","55,49","80","46,987","90","43,718","70","49,395","2245"
"136",99964,"30","69,53","40","30,199","45","264,936","52","28,317","71","36,124","80","36,946","51","66,321","61","53,867","51","103,411","20","61,637","10","118,253","30","93,778","40","138,114","20","25,925","70","48,701","81","48,485","90","69,194","80","26,63","80","42,516","50","40,882","2265"
"137",22142,"86","44,851","87","71,527","91","60,566","92","58,435","100","52,868","94","59,843","83","135,73","75","57,592","81","88,25","97","46,204","78","56,908","77","71,07","85","118,439","94","71,7","72","76,759","76","103,272","96","51,279","96","107","93","83,69","99","46,834","2356"
"138",34755,"100","36,988","65","21,408","59","48,327","81","83,919","72","51,639","100","45,128","92","15,796","81","29,224","28","53,569","81","34,096","91","476,395","92","42,581","71","27,372","71","26,359","82","49,907","91","52,988","90","16,556","87","119,761","100","19,351","92","92,737","2526"
"139",12828,"52","85,144","100","51,895","90","67,9","97","52,529","90","100,367","100","42,444","93","108,691","43","152,274","29","85,813","92","97,295","65","131,118","100","86,9","99","91,21","91","130,123","94","120,35","96","45,017","96","49,712","81","81,784","100","77,915","100","63,201","2592"
"140",95998,"85","25,9","85","42,532","65","136,434","90","47,456","65","42,244","75","36,513","80","37,144","80","118,777","45","37,897","90","47,801","20","68,816","25","77,298","70","195,663","85","23,72","45","56,206","35","63,405","81","86,578","80","41,335","75","47,568","75","43,524","2300"
"141",57853,"96","300,349","69","10,317","65","8,109","76","111,401","49","16,046","66","12,876","88","8,691","85","16,433","77","17,985","77","9,244","56","33,467","69","24,971","55","27,958","66","50,874","62","13,371","75","9,282","72","28,705","71","53,849","55","46,063","50","22,21","2737"
